timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1149868800,Jun 09 2006 - 4:00pm,complete,66000,Germany,Costa Rica,N/A,1,0.00,0.00,2.29,0.00,4,2,6,3,2,1,"6,17,61,87","12,73",-1,-1,0,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Allianz Arena
1149879600,Jun 09 2006 - 7:00pm,complete,52000,Poland,Ecuador,N/A,1,0.00,0.00,1.00,1.50,0,2,2,1,0,1,"","24,80",-1,-1,1,0,2,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,VELTINS-Arena
1149944400,Jun 10 2006 - 1:00pm,complete,48000,England,Paraguay,N/A,1,0.00,0.00,2.20,1.00,1,0,1,1,1,0,"3","",-1,-1,2,0,1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Commerzbank-Arena
1149955200,Jun 10 2006 - 4:00pm,complete,62959,Trinidad and Tobago,Sweden,N/A,1,0.00,0.00,0.33,1.25,0,0,0,0,0,0,"","",-1,-1,2,1,1,0,1,2,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Signal-Iduna-Park
1149966000,Jun 10 2006 - 7:00pm,complete,49480,Argentina,Ivory Coast,N/A,1,0.00,0.00,2.20,1.00,2,1,3,2,2,0,"24,38","82",-1,-1,3,0,2,0,1,2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Volksparkstadion
1150030800,Jun 11 2006 - 1:00pm,complete,43000,Serbia and Montenegro,Netherlands,N/A,1,0.00,0.00,0.00,1.75,0,1,1,1,0,1,"","18",-1,-1,4,0,2,0,1,3,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Red Bull Arena (Leipzig)
1150041600,Jun 11 2006 - 4:00pm,complete,41000,Mexico,Iran,N/A,1,0.00,0.00,1.00,0.33,3,1,4,2,1,1,"28,76,79","36",-1,-1,2,0,1,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Max-Morlock-Stadion
1150052400,Jun 11 2006 - 7:00pm,complete,45000,Angola,Portugal,N/A,1,0.00,0.00,0.67,1.86,0,1,1,1,0,1,"","4",-1,-1,3,0,2,0,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RheinEnergieStadion
1150117200,Jun 12 2006 - 1:00pm,complete,46000,Australia,Japan,N/A,1,0.00,0.00,1.00,0.33,3,1,4,1,0,1,"84,89,90","26",-1,-1,4,0,3,0,1,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Fritz-Walter-Stadion
1150128000,Jun 12 2006 - 4:00pm,complete,52000,USMNT,Czech Republic,N/A,1,0.00,0.00,0.33,1.00,0,3,3,2,0,2,"","5,36,76",-1,-1,2,0,4,0,1,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,VELTINS-Arena
1150138800,Jun 12 2006 - 7:00pm,complete,43000,Italy,Ghana,N/A,1,0.00,0.00,2.43,1.50,2,0,2,1,1,0,"40,83","",-1,-1,3,0,2,0,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HDI-Arena
1150203600,Jun 13 2006 - 1:00pm,complete,48000,South Korea,Togo,N/A,1,0.00,0.00,1.33,0.00,2,1,3,1,0,1,"54,72","31",-1,-1,2,0,3,1,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Commerzbank-Arena
1150214400,Jun 13 2006 - 4:00pm,complete,52000,France,Switzerland,N/A,1,0.00,0.00,2.14,2.00,0,0,0,0,0,0,"","",-1,-1,3,0,5,0,0,3,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mercedes-Benz-Arena
1150225200,Jun 13 2006 - 7:00pm,complete,72000,Brazil,Croatia,N/A,1,0.00,0.00,2.40,0.67,1,0,1,1,1,0,"44","",-1,-1,1,0,3,0,1,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Olympiastadion Berlin
1150290000,Jun 14 2006 - 1:00pm,complete,43000,Spain,Ukraine,N/A,1,0.00,0.00,2.25,1.40,4,0,4,2,2,0,"13,17,48,81","",-1,-1,0,0,2,1,0,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Red Bull Arena (Leipzig)
1150300800,Jun 14 2006 - 4:00pm,complete,66000,Tunisia,Saudi Arabia,N/A,1,0.00,0.00,0.33,0.33,2,2,4,1,1,0,"23,90","57,84",-1,-1,4,0,0,0,2,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Allianz Arena
1150311600,Jun 14 2006 - 7:00pm,complete,65000,Germany,Poland,N/A,2,3.00,0.00,2.29,1.00,1,0,1,0,0,0,"90","",-1,-1,3,0,3,1,0,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,4.00,50,100,50,50,50,50,100,50,100,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Signal-Iduna-Park
1150376400,Jun 15 2006 - 1:00pm,complete,50000,Ecuador,Costa Rica,N/A,2,3.00,0.00,1.50,0.00,3,0,3,1,1,0,"8,54,90","",-1,-1,3,0,2,0,1,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,4.00,50,100,50,50,50,50,100,50,100,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Volksparkstadion
1150387200,Jun 15 2006 - 4:00pm,complete,41000,England,Trinidad and Tobago,N/A,2,3.00,1.00,2.20,0.33,2,0,2,0,0,0,"83,90","",-1,-1,1,0,5,0,0,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,50,0,0,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Max-Morlock-Stadion
1150398000,Jun 15 2006 - 7:00pm,complete,72000,Sweden,Paraguay,N/A,2,1.00,0.00,1.25,1.00,1,0,1,0,0,0,"89","",-1,-1,3,0,5,0,1,2,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,50,0,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Olympiastadion Berlin
1150462800,Jun 16 2006 - 1:00pm,complete,52000,Argentina,Serbia and Montenegro,N/A,2,3.00,0.00,2.20,0.00,6,0,6,3,3,0,"6,31,41,78,84,88","",-1,-1,1,0,3,1,1,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.00,50,50,50,0,0,50,100,0,50,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,VELTINS-Arena
1150473600,Jun 16 2006 - 4:00pm,complete,52000,Netherlands,Ivory Coast,N/A,2,3.00,0.00,1.75,1.00,2,1,3,3,2,1,"23,26","38",-1,-1,4,0,3,0,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.00,50,50,50,0,0,50,100,0,50,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mercedes-Benz-Arena
1150484400,Jun 16 2006 - 7:00pm,complete,43000,Mexico,Angola,N/A,2,3.00,0.00,1.00,0.67,0,0,0,0,0,0,"","",-1,-1,1,0,4,1,0,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.50,50,50,50,50,0,50,100,50,50,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HDI-Arena
1150549200,Jun 17 2006 - 1:00pm,complete,48000,Portugal,Iran,N/A,2,3.00,0.00,1.86,0.33,2,0,2,0,0,0,"63,80","",-1,-1,3,0,4,0,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.50,50,50,50,50,0,50,100,50,50,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Commerzbank-Arena
1150560000,Jun 17 2006 - 4:00pm,complete,45000,Czech Republic,Ghana,N/A,2,3.00,0.00,1.00,1.50,0,2,2,1,0,1,"","2,82",-1,-1,1,1,6,0,0,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.50,0,100,50,0,0,50,100,0,100,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RheinEnergieStadion
1150570800,Jun 17 2006 - 7:00pm,complete,46000,Italy,USMNT,N/A,2,3.00,0.00,2.43,0.33,1,1,2,2,1,1,"22","27",-1,-1,2,1,1,2,2,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.50,0,100,50,0,0,50,100,0,100,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Fritz-Walter-Stadion
