timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1276264800,Jun 11 2010 - 2:00pm,complete,84490,South Africa,Mexico,N/A,1,0.00,0.00,1.33,1.00,1,1,2,0,0,0,"55","79",4,5,2,0,2,0,1,1,1,1,10,13,6,6,4,7,17,13,42,58,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FNB Stadium (Soccer City) (Johannesburg- GA)
1276281000,Jun 11 2010 - 6:30pm,complete,64100,Uruguay,France,N/A,1,0.00,0.00,1.57,0.33,0,0,0,0,0,0,"","",0,4,3,1,3,0,0,4,2,1,7,13,4,4,3,9,13,20,49,51,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Cape Town Stadium
1276342200,Jun 12 2010 - 11:30am,complete,31513,South Korea,Greece,N/A,1,0.00,0.00,1.00,1.00,2,0,2,1,1,0,"7,52","",6,11,0,0,1,0,0,0,0,1,12,8,8,3,4,5,14,12,51,49,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Nelson Mandela Bay Stadium
1276351200,Jun 12 2010 - 2:00pm,complete,55686,Argentina,Nigeria,N/A,1,0.00,0.00,2.40,0.33,1,0,1,1,1,0,"6","",10,4,1,0,1,0,1,0,0,1,16,10,8,2,8,8,7,8,59,41,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Emirates Airline Park (Johannesburg- GA)
1276367400,Jun 12 2010 - 6:30pm,complete,38646,England,USMNT,N/A,1,0.00,0.00,1.25,1.25,1,1,2,2,1,1,"4","40",7,4,3,0,3,0,1,2,1,2,16,12,9,5,7,7,12,12,57,43,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Royal Bafokeng Stadium
1276428600,Jun 13 2010 - 11:30am,complete,30325,Algeria,Slovenia,N/A,1,0.00,0.00,0.33,1.33,0,1,1,0,0,0,"","79",4,3,2,1,2,0,0,3,1,1,11,7,3,5,8,2,16,10,52,48,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Peter Mokaba Stadium
1276437600,Jun 13 2010 - 2:00pm,complete,38833,Serbia,Ghana,N/A,1,0.00,0.00,1.00,1.60,0,1,1,0,0,0,"","84",4,4,3,1,2,0,1,3,1,1,11,13,3,4,8,9,10,15,51,49,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Loftus Versfeld Stadium
1276453800,Jun 13 2010 - 6:30pm,complete,62660,Germany,Australia,N/A,1,0.00,0.00,2.14,1.33,4,0,4,2,2,0,"8,26,67,70","",4,7,2,0,3,1,1,1,1,3,17,9,11,3,6,6,10,18,59,41,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Moses Mabhida Stadium (Durban)
1276515000,Jun 14 2010 - 11:30am,complete,83465,Netherlands,Denmark,N/A,1,0.00,0.00,2.57,1.00,2,0,2,0,0,0,"46,85","",6,2,2,0,1,0,1,1,0,1,15,8,8,4,7,4,13,20,56,44,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FNB Stadium (Soccer City) (Johannesburg- GA)
1276524000,Jun 14 2010 - 2:00pm,complete,30620,Japan,Cameroon,N/A,1,0.00,0.00,1.75,0.00,1,0,1,1,1,0,"39","",0,3,1,0,1,0,0,1,0,1,5,8,5,4,0,4,20,29,45,55,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Free State Stadium (Bloemfontein)
