timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1402603200,Jun 12 2014 - 8:00pm,complete,62103,Brazil,Croatia,N/A,1,0.00,0.00,1.57,1.00,3,1,4,2,1,1,"29,71,90'1","11",7,3,2,0,2,0,1,1,0,2,13,10,5,4,8,6,5,19,63,37,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Arena Corinthians
1402675200,Jun 13 2014 - 4:00pm,complete,39216,Mexico,Cameroon,N/A,1,0.00,0.00,1.75,0.00,1,0,1,0,0,0,"61","",2,5,1,0,1,0,0,1,0,1,7,12,3,4,4,8,10,10,55,45,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Arena das Dunas
1402686000,Jun 13 2014 - 7:00pm,complete,48173,Spain,Netherlands,N/A,1,0.00,0.00,1.00,2.43,1,5,6,2,1,1,"27","44,53,64,72,80",4,1,1,0,3,0,0,1,2,1,8,6,5,6,3,0,6,18,61,39,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Arena Fonte Nova
1402696800,Jun 13 2014 - 10:00pm,complete,40275,Chile,Australia,N/A,1,0.00,0.00,1.75,0.00,3,1,4,3,2,1,"12,14,90'2","35",3,1,1,0,3,0,0,1,1,2,7,12,5,3,2,9,10,18,59,41,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Arena Pantanal
1402761600,Jun 14 2014 - 4:00pm,complete,57174,Colombia,Greece,N/A,1,0.00,0.00,2.40,1.25,3,0,3,1,1,0,"5,58,90'3","",4,4,1,0,2,0,1,0,0,2,9,13,5,8,4,5,20,13,44,56,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Governador Magalhães Pinto
1402772400,Jun 14 2014 - 7:00pm,complete,58679,Uruguay,Costa Rica,N/A,1,0.00,0.00,1.50,1.80,1,3,4,1,1,0,"24","54,57,84",5,6,3,1,0,0,0,4,0,0,7,10,3,2,4,8,21,17,57,43,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Governador Plácido Aderaldo Castelo
1402783200,Jun 14 2014 - 10:00pm,complete,39800,England,Italy,N/A,1,0.00,0.00,0.33,1.00,1,2,3,2,1,1,"37","35,50",9,2,1,0,0,0,0,1,0,0,19,10,7,4,12,6,8,11,49,51,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Arena da Amazônia (Manaus- Amazonas)
1402794000,Jun 15 2014 - 1:00am,complete,40267,Ivory Coast,Japan,N/A,1,0.00,0.00,1.00,0.33,2,1,3,1,0,1,"64,66","16",8,5,2,0,2,0,0,2,1,1,19,7,8,5,11,2,12,10,56,44,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Itaipava Arena Pernambuco
1402848000,Jun 15 2014 - 4:00pm,complete,68351,Switzerland,Ecuador,N/A,1,0.00,0.00,1.50,1.33,2,1,3,1,0,1,"48,90'3","22",8,5,1,0,1,0,0,1,0,1,13,10,6,5,7,5,9,14,52,48,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Nacional de Brasília (Brasília- Distrito Federal)
1402858800,Jun 15 2014 - 7:00pm,complete,43012,France,Honduras,N/A,1,0.00,0.00,2.00,0.00,3,0,3,1,1,0,"45,48,72","",8,0,3,0,3,1,3,0,2,2,13,4,5,2,8,2,13,13,70,30,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio José Pinheiro Borda
