timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1546704000,Jan 05 2019 - 4:00pm,complete,N/A,UAE,Bahrain,Adham Mohammad Tumah Makhadmeh,1,0.00,0.00,1.83,1.00,1,1,2,0,0,0,"88","78",7,6,2,0,0,0,2,0,0,0,10,9,4,5,6,4,9,8,64,36,0.00,0.00,1.21,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,3.50,5.50,0.00,0.00,0.00,0.00,2.37,1.53,Sheikh Zayed Sports City (Abū ẓabī (Abu Dhabi))
1546772400,Jan 06 2019 - 11:00am,complete,N/A,Australia,Jordan,Ahmed Abu Bakar Said Al Kaf,1,0.00,0.00,1.40,2.00,0,1,1,1,0,1,"","26",9,2,1,0,1,0,1,0,0,1,19,11,7,6,12,5,12,9,56,44,0.00,0.00,2.33,1.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.50,7.50,0.00,2.03,0.00,0.00,2.10,1.66,Hazza Bin Zayed Stadium (Al-'Ayn (Al Ain))
1546781400,Jan 06 2019 - 1:30pm,complete,N/A,Thailand,India,Liu Kwok Man,1,0.00,0.00,1.00,1.00,1,4,5,2,1,1,"33","27,46,68,80",4,5,2,0,0,0,1,1,0,0,15,16,4,7,11,9,12,12,65,35,0.00,0.00,1.55,1.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.61,4.00,5.50,1.36,2.10,3.75,8.00,2.10,1.66,Al Nahyan Stadium (Abū ẓabī (Abu Dhabi))
1546790400,Jan 06 2019 - 4:00pm,complete,N/A,Syria,Palestine,Ravshan Irmatov,1,0.00,0.00,0.33,0.67,0,0,0,0,0,0,"","",6,1,2,0,3,1,0,2,2,2,14,6,4,0,10,6,11,18,61,39,0.00,0.00,1.58,0.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.10,4.50,0.00,0.00,0.00,0.00,2.20,1.61,Sharjah Stadium (Al Sharjah (Sharjah))
1546858800,Jan 07 2019 - 11:00am,complete,N/A,China,Kyrgyzstan,Mohamed Abdulla Hassan Mohd,1,0.00,0.00,1.80,0.75,2,1,3,1,0,1,"50,78","42",2,3,0,0,1,0,0,0,0,1,11,12,4,2,7,10,9,11,55,45,0.00,0.00,1.39,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.25,1.57,Sheikh Khalifa International Stadium (Al-'Ayn (Al Ain))
1546867800,Jan 07 2019 - 1:30pm,complete,N/A,South Korea,Philippines,Nawaf Abdulla Ghayyath Shukralla,1,0.00,0.00,2.40,0.00,1,0,1,0,0,0,"67","",3,2,3,0,2,0,1,2,0,2,17,8,6,4,11,4,17,11,77,23,0.00,0.00,2.14,0.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.08,11.00,21.00,1.14,1.44,2.10,3.40,2.75,1.40,Al Maktoum Stadium (Dubayy (Dubai))
1546876800,Jan 07 2019 - 4:00pm,complete,N/A,Iran,Yemen,Ryuji Sato,1,0.00,0.00,2.17,0.00,5,0,5,3,3,0,"12,23,25,53,78","",5,1,1,0,4,0,1,0,0,4,25,4,12,0,13,4,11,15,65,35,0.00,0.00,2.93,0.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.12,8.00,21.00,1.20,1.65,2.62,5.00,3.50,1.28,Mohammed Bin Zayed Stadium (Abū ẓabī (Abu Dhabi))
1546954200,Jan 08 2019 - 1:30pm,complete,N/A,Iraq,Vietnam,Abdulrahman Ibrahim Al Jassim,1,0.00,0.00,1.75,0.80,3,2,5,3,1,2,"35,60,90","24,42",2,3,1,0,2,0,1,0,1,1,17,9,8,6,9,3,11,9,51,49,0.00,0.00,1.95,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,3.60,6.00,1.40,2.25,4.33,10.00,2.50,1.50,Sheikh Zayed Sports City (Abū ẓabī (Abu Dhabi))
1546963200,Jan 08 2019 - 4:00pm,complete,N/A,Saudi Arabia,North Korea,Peter Green,1,0.00,0.00,1.50,0.00,4,0,4,2,2,0,"28,37,70,87","",10,3,1,0,4,1,1,0,3,2,19,9,8,4,11,5,8,11,69,31,0.00,0.00,2.28,0.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.72,3.50,5.00,1.40,2.25,4.00,9.00,2.10,1.66,Maktoum Bin Rashid al Maktoum Stadium (Al-Shabab Stadium) (Dubayy (Dubai))
1547031600,Jan 09 2019 - 11:00am,complete,N/A,Japan,Turkmenistan,Alireza Faghani,1,0.00,0.00,2.57,0.00,3,2,5,1,0,1,"56,60,71","26,79",5,2,2,0,1,0,1,1,0,1,22,9,7,5,15,4,9,6,68,32,0.00,0.00,2.38,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.06,11.00,34.00,1.08,1.28,1.72,2.62,2.20,1.61,Al Nahyan Stadium (Abū ẓabī (Abu Dhabi))
