timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1561147200,Jun 21 2019 - 8:00pm,complete,N/A,Egypt,Zimbabwe,N/A,1,0.00,0.00,2.25,0.33,1,0,1,1,1,0,"41","",7,2,0,0,1,0,0,0,0,1,16,9,10,3,6,6,11,10,59,41,0.00,0.00,2.05,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.21,6.15,13.50,1.22,1.71,2.80,5.15,2.60,1.44,Cairo International Stadium
1561213800,Jun 22 2019 - 2:30pm,complete,N/A,Congo DR,Uganda,N/A,1,0.00,0.00,1.00,1.00,0,2,2,1,0,1,"","14,48",5,9,2,0,1,0,1,1,1,0,10,14,4,6,6,8,22,24,54,46,0.00,0.00,1.20,1.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,2.95,3.60,1.65,2.95,6.20,12.75,2.40,1.51,Cairo International Stadium
1561222800,Jun 22 2019 - 5:00pm,complete,N/A,Nigeria,Burundi,N/A,1,0.00,0.00,2.14,0.00,1,0,1,0,0,0,"77","",4,6,0,0,1,0,0,0,0,1,12,12,4,7,8,5,19,22,64,36,0.00,0.00,1.46,1.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.40,10.25,1.38,2.20,4.10,8.00,2.70,1.43,Alexandria Stadium
1561233600,Jun 22 2019 - 8:00pm,complete,N/A,Guinea,Madagascar,N/A,1,0.00,0.00,1.00,1.60,2,2,4,1,1,0,"34,66","49,55",5,3,0,0,3,0,0,0,0,3,16,7,4,4,12,3,18,13,58,42,0.00,0.00,1.59,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.77,3.25,5.25,1.50,2.50,4.95,10.00,2.30,1.56,Alexandria Stadium
1561300200,Jun 23 2019 - 2:30pm,complete,N/A,Morocco,Namibia,N/A,1,0.00,0.00,2.50,0.00,1,0,1,0,0,0,"89","",5,0,0,0,1,0,0,0,0,1,15,3,6,0,9,3,17,15,67,33,0.00,0.00,1.98,0.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.29,5.10,10.75,1.35,2.10,3.80,7.25,2.85,1.38,N/A
1561309200,Jun 23 2019 - 5:00pm,complete,N/A,Senegal,Tanzania,N/A,1,0.00,0.00,2.14,0.00,2,0,2,1,1,0,"28,64","",6,3,1,0,4,0,1,0,2,2,21,4,11,0,10,4,18,22,63,37,0.00,0.00,2.53,0.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.29,4.85,12.25,1.35,2.10,3.80,7.25,2.75,1.41,30 June Air Defence Stadium
1561320000,Jun 23 2019 - 8:00pm,complete,N/A,Algeria,Kenya,N/A,1,0.00,0.00,2.71,1.00,2,0,2,2,2,0,"34,43","",3,4,0,0,2,0,0,0,2,0,9,3,5,0,4,3,13,26,56,44,0.00,0.00,1.22,0.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.45,6.00,1.44,2.35,4.50,9.00,2.25,1.59,30 June Air Defence Stadium
1561386600,Jun 24 2019 - 2:30pm,complete,N/A,Ivory Coast,South Africa,N/A,1,0.00,0.00,2.00,1.20,1,0,1,0,0,0,"65","",5,3,3,0,1,0,1,2,1,0,7,3,4,0,3,3,24,21,44,56,0.00,0.00,1.06,0.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.10,3.70,1.49,2.50,4.85,9.75,2.10,1.67,N/A
1561395600,Jun 24 2019 - 5:00pm,complete,N/A,Tunisia,Angola,N/A,1,0.00,0.00,1.00,0.67,1,1,2,1,1,0,"34","73",0,3,2,0,1,0,1,1,1,0,11,9,4,3,7,6,15,19,50,50,0.00,0.00,1.23,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.71,3.60,5.05,1.44,2.35,4.50,9.00,2.20,1.61,New Suez Stadium
1561406400,Jun 24 2019 - 8:00pm,complete,N/A,Mali,Mauritania,N/A,1,0.00,0.00,1.75,0.67,4,1,5,2,2,0,"37,45,55,74","72",5,7,2,0,3,0,1,1,1,2,17,5,10,2,7,3,15,14,53,47,0.00,0.00,2.02,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.77,3.40,4.90,1.39,2.20,4.15,8.25,2.05,1.71,New Suez Stadium
1561482000,Jun 25 2019 - 5:00pm,complete,N/A,Cameroon,Guinea-Bissau,N/A,1,0.00,0.00,1.25,0.33,2,0,2,0,0,0,"66,69","",8,2,2,0,1,0,0,2,0,1,16,11,6,0,10,11,24,12,60,40,0.00,0.00,1.90,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,3.85,8.25,1.47,2.40,4.70,9.50,2.55,1.47,Ismaïlia Stadium
1561492800,Jun 25 2019 - 8:00pm,complete,N/A,Ghana,Benin,N/A,1,0.00,0.00,1.50,0.80,2,2,4,3,2,1,"9,42","2,63",4,5,2,1,2,0,1,2,0,2,8,16,4,5,4,11,15,26,51,49,0.00,0.00,1.04,1.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,3.65,6.55,1.51,2.60,5.15,10.50,2.55,1.47,Ismaïlia Stadium
