timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1570626000,Oct 09 2019 - 1:00pm,complete,N/A,Mauritius,São Tomé e Príncipe,N/A,N/A,0.00,0.00,0.00,0.75,1,3,4,2,1,1,"40","45,60,65",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Anjalay Stadium
1570629600,Oct 09 2019 - 2:00pm,complete,N/A,South Sudan,Seychelles,N/A,N/A,0.00,0.00,1.13,0.00,2,1,3,3,2,1,"20,44","13",5,2,-1,-1,-1,-1,-1,-1,-1,-1,3,2,3,2,0,0,-1,-1,50,50,0.00,0.00,1.00,0.65,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.20,5.75,15.00,1.28,2.00,3.00,5.00,2.75,1.40,Al-Merreikh Stadium
1570636800,Oct 09 2019 - 4:00pm,complete,N/A,Liberia,Chad,N/A,N/A,0.00,0.00,1.50,0.50,1,0,1,1,1,0,"43","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Samuel Kanyon Doe Sports Complex
1570636800,Oct 09 2019 - 4:00pm,complete,N/A,Djibouti,Gambia,N/A,N/A,0.00,0.00,1.00,1.50,1,1,2,0,0,0,"59","90",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade El Hadj Hassan Gouled
1570968000,Oct 13 2019 - 12:00pm,complete,N/A,Seychelles,South Sudan,N/A,N/A,0.00,3.00,0.00,1.13,0,1,1,0,0,0,"","71",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.65,1.00,0.00,0.00,3.00,100,100,100,0,0,100,100,0,0,7.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Linité
1570971600,Oct 13 2019 - 1:00pm,complete,N/A,Chad,Liberia,N/A,N/A,0.00,3.00,0.50,1.50,1,0,1,0,0,0,"54","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,100,0,0,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Omnisports Idriss Mahamat Ouya
1570982400,Oct 13 2019 - 4:00pm,complete,N/A,São Tomé e Príncipe,Mauritius,N/A,N/A,3.00,0.00,0.75,0.00,2,1,3,3,2,1,"11,27","45",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,4.00,100,100,100,100,0,100,100,100,100,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1570982400,Oct 13 2019 - 4:00pm,complete,N/A,Gambia,Djibouti,N/A,N/A,1.00,1.00,1.50,1.00,1,1,2,2,1,1,"45'3","10",1,11,0,0,0,0,0,0,0,0,9,12,4,4,5,8,11,12,31,69,0.00,0.00,1.28,1.20,2.00,100,100,0,0,0,0,0,100,100,0.00,-2.00,1.29,5.00,7.50,0.00,1.90,0.00,0.00,2.25,1.57,Independence Stadium
1573650000,Nov 13 2019 - 1:00pm,complete,N/A,Central African Republic,Burundi,N/A,1,0.00,0.00,0.67,0.83,2,0,2,1,1,0,"5,90'2","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.70,3.30,5.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Barthélemy Boganda
1573650000,Nov 13 2019 - 1:00pm,complete,N/A,Malawi,South Sudan,N/A,1,0.00,3.00,1.67,1.13,1,0,1,0,0,0,"68","",6,4,-1,-1,-1,-1,-1,-1,-1,-1,11,11,2,3,9,8,-1,-1,50,50,0.00,1.00,1.39,1.41,1.00,25,25,25,0,0,25,25,0,25,5.00,-1.00,1.40,4.00,7.50,1.36,2.10,3.75,7.00,2.25,1.57,Kamuzu Stadium
