timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1560641400,Jun 15 2019 - 11:30pm,complete,N/A,Canada,Martinique,N/A,1,0.00,0.00,1.50,1.00,4,0,4,1,1,0,"33,53,63,67","",3,7,1,0,1,0,1,0,1,0,26,19,11,5,15,14,17,15,54,46,0.00,0.00,2.74,1.79,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.10,4.50,7.00,1.36,2.10,4.00,8.00,2.50,1.50,N/A
1560650400,Jun 16 2019 - 2:00am,complete,N/A,Mexico,Cuba,N/A,1,0.00,0.00,2.67,0.00,7,0,7,4,4,0,"2,31,38,44,64,74,80","",8,2,0,0,1,0,0,0,1,0,31,4,15,0,16,4,10,10,76,24,0.00,0.00,3.51,0.35,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.00,23.00,81.00,1.03,1.12,1.36,1.80,5.00,1.16,N/A
1560722400,Jun 16 2019 - 10:00pm,complete,N/A,Haiti,Bermuda,N/A,1,0.00,0.00,2.40,1.00,2,1,3,1,0,1,"54,66","45'2",5,6,1,0,1,0,0,1,0,1,26,9,3,3,23,6,-1,-1,58,42,0.00,0.00,2.33,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.04,5.75,13.00,1.25,1.80,3.25,6.00,3.00,1.36,Estadio Nacional de Costa Rica
1560731400,Jun 17 2019 - 12:30am,complete,N/A,Costa Rica,Nicaragua,N/A,1,0.00,0.00,1.75,0.00,4,0,4,3,3,0,"7,19,45'1,75","",3,3,1,0,1,0,1,0,0,1,17,9,7,2,10,7,18,9,55,45,0.00,0.00,1.87,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.05,7.50,11.00,1.16,1.57,2.37,4.33,2.50,1.50,Estadio Nacional de Costa Rica
1560812400,Jun 17 2019 - 11:00pm,complete,N/A,Curaçao,El Salvador,N/A,1,0.00,0.00,1.00,1.33,0,1,1,1,0,1,"","45'1",7,4,3,0,1,0,1,2,1,0,4,10,2,6,2,4,23,13,58,42,0.00,0.00,0.72,1.35,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.10,2.50,0.00,2.25,0.00,0.00,2.00,1.75,N/A
1560821400,Jun 18 2019 - 1:30am,complete,17874,Jamaica,Honduras,N/A,1,0.00,0.00,1.60,1.00,3,2,5,2,2,0,"15,41,56","54,90'2",2,4,0,0,1,0,0,0,0,1,10,12,6,3,4,9,14,9,48,52,0.00,0.00,1.30,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,3.10,2.50,1.61,2.87,6.50,15.00,2.37,1.53,N/A
1560900600,Jun 18 2019 - 11:30pm,complete,N/A,Panama,Trinidad and Tobago,N/A,1,0.00,0.00,1.50,0.33,2,0,2,0,0,0,"53,68","",4,2,0,0,0,0,0,0,0,0,21,7,8,0,13,7,13,9,52,48,0.00,0.00,2.30,0.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,3.25,5.50,0.00,2.88,0.00,0.00,2.50,1.50,N/A
1560909600,Jun 19 2019 - 2:00am,complete,19418,USMNT,Guyana,N/A,1,0.00,0.00,2.50,0.33,4,0,4,1,1,0,"28,51,55,81","",3,4,0,0,0,0,0,0,0,0,22,5,7,2,15,3,18,6,54,46,0.00,0.00,2.16,0.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.00,21.00,34.00,1.01,1.07,1.16,1.36,2.62,1.44,N/A
1560988800,Jun 20 2019 - 12:00am,complete,N/A,Cuba,Martinique,N/A,2,0.00,0.00,0.00,1.00,0,3,3,1,0,1,"","45,70,84",6,4,4,1,3,0,1,4,2,1,10,24,5,9,5,15,11,17,45,55,0.35,1.79,1.27,2.34,5.50,0,100,100,100,50,50,100,100,100,9.00,2.00,8.00,5.00,1.08,1.20,1.61,2.50,4.50,2.00,1.75,N/A
1560997800,Jun 20 2019 - 2:30am,complete,52874,Mexico,Canada,N/A,2,3.00,3.00,2.67,1.50,3,1,4,1,1,0,"40,54,77","75",5,2,0,0,1,0,0,0,0,1,18,12,7,5,11,7,17,14,66,34,3.51,2.74,1.96,1.24,5.50,0,100,100,100,50,50,100,100,100,11.00,1.00,1.14,4.75,5.50,1.20,1.66,2.62,5.00,1.95,1.80,N/A
