timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1623618000,Jun 13 2021 - 9:00pm,complete,0,Brazil,Venezuela,Esteban Ostojich,1,0.00,0.00,2.29,0.50,3,0,3,1,1,0,"23,64,89","",9,4,2,0,2,0,1,1,0,2,19,4,8,2,11,2,11,13,62,38,0.00,0.00,2.19,0.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.08,13.00,30.00,1.16,1.48,2.15,3.45,3.25,1.29,Estádio Nacional de Brasília (Brasília- Distrito Federal)
1623628800,Jun 14 2021 - 12:00am,complete,0,Colombia,Ecuador,Néstor Fabián Pitana,1,0.00,0.00,1.29,0.60,1,0,1,1,1,0,"42","",1,9,3,0,1,0,1,2,0,1,6,9,3,3,3,6,20,16,42,59,0.00,0.00,0.77,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.40,4.65,1.43,2.20,3.80,7.50,2.05,1.71,Arena Pantanal (Cuiabá- Mato Grosso)
1623704400,Jun 14 2021 - 9:00pm,complete,0,Argentina,Chile,Wilmar Alexander Roldán Pérez,1,0.00,0.00,2.43,1.00,1,1,2,1,1,0,"33","57",7,1,2,0,3,0,1,1,3,0,19,6,6,5,13,1,14,22,49,51,0.00,0.00,1.99,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,3.65,6.00,1.45,2.30,4.15,8.25,2.30,1.54,Estádio Nilton Santos (Rio de Janeiro)
1623715200,Jun 15 2021 - 12:00am,complete,0,Paraguay,Bolivia,Diego Mirko Haro Sueldo,1,0.00,0.00,1.40,0.00,3,1,4,1,0,1,"62,65,80","10",7,2,2,0,3,1,2,0,4,0,35,5,12,3,23,2,11,10,78,22,0.00,0.00,3.82,0.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.59,3.80,6.75,1.37,2.10,3.55,7.00,2.10,1.67,Estádio Olímpico Pedro Ludovico Teixeira (Goiânia- Goiás)
1623963600,Jun 17 2021 - 9:00pm,complete,0,Colombia,Venezuela,Eber Aquino,2,3.00,0.00,1.29,0.50,0,0,0,0,0,0,"","",6,3,2,1,5,0,0,3,0,5,24,3,9,0,15,3,13,17,65,35,0.77,0.56,2.76,0.36,2.00,0,50,50,0,0,0,100,50,50,5.00,5.00,1.38,4.70,10.00,1.41,2.15,3.90,7.75,2.70,1.40,Estádio Olímpico Pedro Ludovico Teixeira (Goiânia- Goiás)
1623974400,Jun 18 2021 - 12:00am,complete,0,Brazil,Peru,Patricio Loustau,2,3.00,0.00,2.29,1.14,4,0,4,1,1,0,"12,68,89,90'3","",2,3,1,0,3,0,0,1,2,1,18,8,10,3,8,5,12,19,55,45,2.19,0.00,2.12,0.94,1.50,0,50,50,0,0,0,50,50,50,9.00,2.00,1.22,7.00,13.00,1.26,1.74,2.85,5.25,2.65,1.42,Estádio Nilton Santos (Rio de Janeiro)
1624050000,Jun 18 2021 - 9:00pm,complete,0,Chile,Bolivia,Jesús Gil Manzano,2,1.00,0.00,1.00,0.00,1,0,1,1,1,0,"10","",6,2,1,0,2,0,0,1,0,2,19,11,12,4,7,7,5,8,62,38,0.00,0.67,2.58,1.38,3.00,100,100,50,50,0,0,100,50,100,3.00,7.00,1.36,5.00,8.50,1.29,1.77,2.90,5.50,2.05,1.67,Arena Pantanal (Cuiabá- Mato Grosso)
1624060800,Jun 19 2021 - 12:00am,complete,0,Argentina,Uruguay,Wilton Pereira Sampaio,2,1.00,0.00,2.43,1.60,1,0,1,1,1,0,"13","",8,3,3,0,2,0,0,3,0,2,10,5,7,0,3,5,11,22,45,55,1.99,0.00,1.58,0.72,1.00,50,50,0,0,0,0,50,0,50,7.00,2.00,2.00,3.40,4.20,1.54,2.45,4.50,9.50,2.25,1.56,Estádio Nacional de Brasília (Brasília- Distrito Federal)
1624222800,Jun 20 2021 - 9:00pm,complete,0,Venezuela,Ecuador,Roberto Tobar Vargas,3,0.50,0.00,0.50,0.60,2,2,4,1,0,1,"51,90'1","39,71",5,5,0,0,3,0,0,0,2,1,10,18,4,7,6,11,8,15,31,69,0.00,1.26,1.07,2.16,1.25,0,25,25,0,0,0,75,25,25,12.50,4.50,6.50,3.90,1.61,1.48,2.35,4.30,9.00,2.45,1.48,Estádio Nilton Santos (Rio de Janeiro)
1624233600,Jun 21 2021 - 12:00am,complete,0,Colombia,Peru,Esteban Ostojich,3,2.00,0.00,1.29,1.14,1,2,3,1,0,1,"53","17,64",4,3,1,0,2,0,1,0,1,1,13,11,5,4,8,7,12,13,59,41,1.76,0.94,1.63,1.23,2.25,0,50,50,50,0,0,75,50,50,6.50,6.50,1.65,3.55,6.75,1.47,2.35,4.20,8.50,2.25,1.57,Estádio Olímpico Pedro Ludovico Teixeira (Goiânia- Goiás)
