timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1764075600,Nov 25 2025 - 1:00pm,complete,N/A,Kuwait,Mauritania,N/A,1,0.00,0.00,1.00,0.00,2,0,2,2,2,0,"8,23","",1,4,0,0,0,0,0,0,0,0,0,0,4,4,-4,-4,14,13,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.20,2.30,1.38,2.17,3.86,6.85,1.87,1.83,N/A
1764086400,Nov 25 2025 - 4:00pm,complete,N/A,Palestine,Libya,N/A,1,0.00,0.00,1.20,1.00,0,0,0,0,0,0,"","",10,1,1,0,0,0,0,1,0,0,8,11,1,2,7,9,-1,-1,53,47,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.30,3.40,1.43,2.23,4.00,7.85,1.88,1.82,N/A
1764086400,Nov 25 2025 - 4:00pm,complete,N/A,Syria,South Sudan,N/A,1,0.00,0.00,1.60,0.00,2,0,2,0,0,0,"52,59","",3,1,2,0,4,0,1,1,1,3,11,8,3,2,8,6,-1,-1,58,42,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,5.20,7.40,1.35,2.17,2.55,5.55,2.38,1.52,N/A
1764162000,Nov 26 2025 - 1:00pm,complete,N/A,Bahrain,Djibouti,N/A,1,0.00,0.00,1.50,0.00,1,0,1,1,1,0,"36","",5,3,1,0,0,0,0,1,0,0,17,3,4,2,13,1,14,13,62,38,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.12,7.00,23.00,1.23,1.66,2.76,4.90,2.31,1.55,N/A
1764162000,Nov 26 2025 - 1:00pm,complete,N/A,Oman,Somalia,N/A,1,0.00,0.00,1.25,1.00,0,0,0,0,0,0,"","",3,9,0,0,1,0,0,0,1,0,9,4,1,2,8,2,12,10,62,38,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.20,7.50,1.22,1.82,2.88,5.00,2.28,1.45,Abdullah bin Nasser bin Khalifa Stadium
1764172800,Nov 26 2025 - 4:00pm,complete,N/A,Yemen,Comoros,N/A,1,0.00,0.00,1.00,0.25,4,4,8,4,3,1,"14,40,45'2,65","30,90'3,90'1,61",2,1,2,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,8,2,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.16,3.56,2.98,1.33,2.04,3.94,7.30,1.80,1.82,N/A
1764172800,Nov 26 2025 - 4:00pm,complete,N/A,Lebanon,Sudan,N/A,1,0.00,0.00,0.00,1.00,1,2,3,2,1,1,"30","73,43",7,4,4,0,2,1,2,2,3,0,-1,-1,-1,-1,-1,-1,13,9,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.30,3.60,1.50,2.71,4.75,9.10,2.15,1.63,N/A
1764594000,Dec 01 2025 - 1:00pm,complete,N/A,Tunisia,Syria,N/A,1,0.00,3.00,1.33,1.60,0,1,1,0,0,0,"","48",7,3,2,0,1,0,0,2,1,0,16,4,4,3,12,1,12,14,69,31,0.00,0.00,0.00,0.00,1.00,0,50,0,0,0,0,0,50,50,3.00,2.00,1.60,3.70,5.00,1.25,1.89,3.14,6.00,1.87,1.83,N/A
1764603900,Dec 01 2025 - 3:45pm,complete,N/A,Qatar,Palestine,N/A,1,0.00,1.00,0.33,1.20,0,1,1,0,0,0,"","90'5",6,3,0,0,1,0,0,0,1,0,10,8,3,1,7,7,6,12,63,37,0.00,0.00,1.16,0.84,0.00,0,0,0,0,0,0,0,0,0,10.00,1.00,1.43,3.87,6.20,1.30,2.05,3.75,8.00,2.17,1.69,N/A
1764676800,Dec 02 2025 - 12:00pm,complete,N/A,Morocco,Comoros,N/A,1,0.00,1.00,2.67,0.25,3,1,4,3,3,0,"11,5,45'4","56",4,7,0,0,1,0,0,0,1,0,13,11,5,3,8,8,10,8,49,51,0.00,0.00,1.46,1.16,4.00,50,50,50,50,50,50,50,50,50,1.00,0.00,1.21,5.98,11.00,1.20,1.61,2.70,4.40,2.06,1.66,Khalifa International Stadium
