timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1483536600,Jan 04 2017 - 1:30pm,complete,N/A,Tunisia,Uganda,N/A,N/A,0.00,0.00,0.75,0.67,2,0,2,0,0,0,"","",2,2,0,0,0,0,0,0,0,0,6,7,2,2,4,5,23,23,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Olympique d'El Menzah (Tunis)
1483545600,Jan 04 2017 - 4:00pm,complete,N/A,Morocco,Burkina,N/A,N/A,0.00,0.00,2.40,0.33,1,0,1,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Prince Moulay Abdallah (Rabat)
1483657200,Jan 05 2017 - 11:00pm,canceled,N/A,Morocco,Iran,N/A,N/A,3.00,0.00,2.40,2.17,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1483797600,Jan 07 2017 - 2:00pm,canceled,N/A,Gabon,Zimbabwe,N/A,N/A,0.00,0.00,0.75,0.33,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1483801200,Jan 07 2017 - 3:00pm,complete,N/A,Mali,Burkina,N/A,N/A,0.00,0.00,3.00,0.33,2,1,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Annexe de Grand Stade Marrakech (Marrakech)
1483804800,Jan 07 2017 - 4:00pm,complete,N/A,Algeria,Mauritania,Boubou Traore,N/A,0.00,0.00,3.00,0.86,3,1,4,1,0,1,"53,73,90'2","19",9,4,1,0,1,0,1,0,0,1,16,9,8,8,8,1,12,11,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Mustapha Tchaker (El Bouleïda (Blida))
1483884000,Jan 08 2017 - 2:00pm,complete,N/A,Libya,Senegal,N/A,N/A,0.00,0.00,0.67,2.20,1,2,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade de l’Unité (Brazzaville)
1483891200,Jan 08 2017 - 4:00pm,complete,15000,Egypt,Tunisia,N/A,N/A,0.00,3.00,3.00,0.75,1,0,1,0,0,0,"90'1","",2,6,1,0,1,0,1,0,0,1,2,5,0,2,2,3,8,11,50,50,0.00,0.00,0.00,0.00,1.00,0,50,0,0,0,0,0,0,0,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Cairo International Stadium
1484060400,Jan 10 2017 - 3:00pm,complete,500,Saudi Arabia,Slovenia,N/A,N/A,0.00,0.00,1.00,1.00,0,0,0,0,0,0,"","",4,1,2,0,2,0,0,2,1,1,8,7,4,4,4,3,19,16,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sheikh Zayed Sports City
1484145000,Jan 11 2017 - 2:30pm,complete,N/A,Congo,Senegal,N/A,N/A,0.00,3.00,0.33,2.20,0,2,2,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.50,50,50,50,0,0,0,0,0,0,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade de l’Unité (Brazzaville)
