timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1465585200,Jun 10 2016 - 7:00pm,complete,75113,France,Romania,N/A,1,0.00,0.00,2.29,0.33,2,1,3,0,0,0,"57,89","65",5,4,1,0,3,0,0,1,2,1,11,7,5,2,6,5,5,13,52,48,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade de France
1465650000,Jun 11 2016 - 1:00pm,complete,33805,Albania,Switzerland,N/A,1,0.00,0.00,1.00,1.50,0,1,1,1,0,1,"","5",5,4,4,1,2,0,2,3,1,1,7,13,5,7,2,6,8,16,45,55,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Bollaert-Delelis
1465660800,Jun 11 2016 - 4:00pm,complete,37831,Wales,Slovakia,N/A,1,0.00,0.00,2.00,1.00,2,1,3,1,1,0,"10,81","61",2,3,0,0,5,0,0,0,1,4,8,9,7,3,1,6,16,15,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Matmut-Atlantique
1465671600,Jun 11 2016 - 7:00pm,complete,62343,England,Russia,N/A,1,0.00,0.00,1.25,0.33,1,1,2,0,0,0,"73","90'2",6,4,1,0,1,0,0,1,0,1,15,7,7,3,8,4,9,14,55,45,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Vélodrome (Marseille)
1465736400,Jun 12 2016 - 1:00pm,complete,43842,Turkey,Croatia,N/A,1,0.00,0.00,1.00,1.75,0,1,1,1,0,1,"","41",3,5,3,0,1,0,1,2,0,1,9,12,3,5,6,7,14,14,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Parc des Princes
1465747200,Jun 12 2016 - 4:00pm,complete,33742,Poland,Northern Ireland,N/A,1,0.00,0.00,1.80,0.75,1,0,1,0,0,0,"51","",8,1,2,0,1,0,0,2,0,1,12,3,4,0,8,3,9,12,64,36,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Allianz Riviera
1465758000,Jun 12 2016 - 7:00pm,complete,43035,Germany,Ukraine,N/A,1,0.00,0.00,1.83,0.00,2,0,2,1,1,0,"19,90'2","",6,12,0,0,1,0,0,0,0,1,14,6,8,4,6,2,9,9,68,32,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Pierre-Mauroy
1465822800,Jun 13 2016 - 1:00pm,complete,29400,Spain,Czech Republic,N/A,1,0.00,0.00,1.50,0.33,1,0,1,0,0,0,"87","",14,3,0,0,1,0,0,0,0,1,18,7,9,5,9,2,10,11,71,29,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadium Municipal (Toulouse)
1465833600,Jun 13 2016 - 4:00pm,complete,73419,Republic of Ireland,Sweden,N/A,1,0.00,0.00,1.00,0.33,1,1,2,0,0,0,"47","71",5,5,2,0,1,0,1,1,0,1,8,8,4,4,4,4,10,14,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade de France
1465844400,Jun 13 2016 - 7:00pm,complete,55408,Belgium,Italy,N/A,1,0.00,0.00,1.80,2.00,0,2,2,1,0,1,"","32,90'2",8,6,1,0,4,0,0,1,0,4,11,9,3,6,8,3,10,12,60,40,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Groupama Stadium
1465920000,Jun 14 2016 - 4:00pm,complete,34424,Austria,Hungary,N/A,1,0.00,0.00,0.33,1.25,0,2,2,0,0,0,"","62,87",4,4,1,1,1,0,1,1,0,1,10,12,4,6,6,6,10,15,54,46,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Matmut-Atlantique
1465930800,Jun 14 2016 - 7:00pm,complete,38742,Portugal,Iceland,N/A,1,0.00,0.00,1.86,1.60,1,1,2,1,1,0,"31","50",11,2,0,0,2,0,0,0,0,2,20,4,9,4,11,0,9,16,71,29,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Geoffroy-Guichard
1465995600,Jun 15 2016 - 1:00pm,complete,38989,Russia,Slovakia,N/A,2,1.00,0.00,0.33,1.00,1,2,3,2,0,2,"80","32,45",6,5,0,0,1,0,0,0,0,1,11,8,4,3,7,5,9,12,62,38,0.00,0.00,0.00,0.00,2.50,100,100,50,0,0,0,50,100,100,7.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Pierre-Mauroy
1466006400,Jun 15 2016 - 4:00pm,complete,43576,Romania,Switzerland,N/A,2,0.00,3.00,0.33,1.50,1,1,2,1,1,0,"18","57",4,7,4,0,2,0,3,1,0,2,9,14,5,7,4,7,23,10,39,61,0.00,0.00,0.00,0.00,2.00,50,50,50,0,0,0,50,50,50,8.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Parc des Princes
