timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1410105600,Sep 07 2014 - 4:00pm,complete,22000,Georgia,Republic of Ireland,N/A,1,0.00,0.00,0.90,1.83,1,2,3,2,1,1,"38","24,90",4,4,3,0,1,0,1,2,1,0,4,5,2,2,2,3,11,9,45,55,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Boris Paichadze Dinamo Arena
1410105600,Sep 07 2014 - 4:00pm,complete,20672,Hungary,Northern Ireland,N/A,1,0.00,0.00,1.83,2.10,1,2,3,0,0,0,"75","81,88",9,2,1,0,1,0,1,0,1,0,9,7,4,3,5,4,13,18,56,44,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Groupama Aréna
1410105600,Sep 07 2014 - 4:00pm,complete,20141,Denmark,Armenia,N/A,1,0.00,0.00,1.30,0.25,2,1,3,0,0,0,"65,80","50",7,2,1,0,1,0,0,1,0,1,15,5,5,2,10,3,14,11,66,34,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Telia Parken
1410115500,Sep 07 2014 - 6:45pm,complete,60209,Germany,Scotland,N/A,1,0.00,0.00,2.20,1.50,2,1,3,1,1,0,"18,70","66",12,1,2,0,3,1,0,2,0,4,18,7,9,3,9,4,13,15,68,32,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Signal-Iduna-Park
1410115500,Sep 07 2014 - 6:45pm,complete,1620,Gibraltar,Poland,N/A,1,0.00,0.00,0.00,2.10,0,7,7,1,0,1,"","11,48,50,53,58,86,90'2",3,9,1,0,2,0,0,1,2,0,4,15,2,7,2,8,8,8,36,64,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Do Algarve (São João da Venda)
1410115500,Sep 07 2014 - 6:45pm,complete,3300,Faroe Islands,Finland,N/A,1,0.00,0.00,0.60,1.20,1,3,4,1,1,0,"41","53,78,82",4,9,4,0,1,0,0,4,1,0,8,21,5,12,3,9,11,11,25,75,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Tórsvøllur
1410115500,Sep 07 2014 - 6:45pm,complete,173,Greece,Romania,N/A,1,0.00,0.00,0.60,2.00,0,1,1,1,0,1,"","10",3,2,5,0,3,1,3,2,2,2,18,10,9,3,9,7,10,19,66,34,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadio Georgios Karaiskáki
1410115500,Sep 07 2014 - 6:45pm,complete,23205,Portugal,Albania,N/A,1,0.00,0.00,2.63,1.75,0,1,1,0,0,0,"","52",10,2,1,0,6,0,0,1,3,3,20,2,6,2,14,0,8,14,69,31,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Municipal de Aveiro
1410192000,Sep 08 2014 - 4:00pm,complete,11236,Russia,Liechtenstein,N/A,1,0.00,0.00,2.00,0.50,4,0,4,1,1,0,"4,50,54,65","",10,1,0,0,2,0,0,0,2,0,24,5,11,0,13,5,14,7,61,39,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Arena Khimki
1410201900,Sep 08 2014 - 6:45pm,complete,3265,Luxembourg,Belarus,N/A,1,0.00,0.00,0.40,1.10,1,1,2,1,1,0,"42","78",3,7,5,0,2,0,4,1,0,2,7,16,2,6,5,10,14,11,40,60,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Josy Barthel
