timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1697103000,Oct 12 2023 - 9:30am,complete,N/A,Myanmar,Macau,N/A,N/A,0.00,0.00,0.63,0.50,5,1,6,1,1,0,"39,62,81,90'1,90'5","55",-1,-1,1,0,2,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Thuwanna YTC Stadium
1697108400,Oct 12 2023 - 11:00am,complete,N/A,Taiwan,Timor-Leste,N/A,N/A,0.00,0.00,0.75,0.00,4,0,4,1,1,0,"4,57,60,88","",4,3,1,0,2,0,1,0,2,0,10,4,6,0,4,4,12,8,50,50,0.00,0.00,1.40,0.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Kaohsiung National Stadium
1697108400,Oct 12 2023 - 11:00am,complete,N/A,Maldives,Bangladesh,N/A,N/A,0.00,0.00,0.50,0.63,1,1,2,0,0,0,"87","90'2",7,3,0,0,4,0,0,0,1,3,12,17,2,4,10,13,5,16,50,50,0.00,0.00,1.40,1.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Rasmee Dhandu Stadium
1697110200,Oct 12 2023 - 11:30am,complete,N/A,Singapore,Guam,N/A,N/A,0.00,0.00,0.88,0.00,2,1,3,2,2,0,"35,41","90",15,0,1,0,3,0,0,1,0,3,20,5,9,4,11,1,9,12,50,50,0.00,0.00,2.68,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1697111100,Oct 12 2023 - 11:45am,complete,N/A,Nepal,Laos,N/A,N/A,0.00,0.00,0.63,0.50,1,1,2,1,0,1,"48","33",8,2,1,0,1,0,1,0,0,1,7,6,3,2,4,4,6,18,50,50,0.00,0.00,1.32,0.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Dashrath Rangasala
1697112000,Oct 12 2023 - 12:00pm,complete,N/A,Indonesia,Brunei,N/A,N/A,0.00,0.00,1.40,0.00,6,0,6,2,2,0,"7,12,63,67,72,90'2","",9,2,0,0,1,0,0,0,0,1,11,0,9,0,2,0,5,4,50,50,0.00,0.00,1.82,0.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1697112000,Oct 12 2023 - 12:00pm,complete,N/A,Hong Kong,Bhutan,N/A,N/A,0.00,0.00,0.63,1.50,4,0,4,4,4,0,"10,16,28,35","",6,0,0,0,1,0,0,0,0,1,25,7,10,1,15,6,11,13,50,50,0.00,0.00,3.16,0.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1697112000,Oct 12 2023 - 12:00pm,complete,N/A,Cambodia,Pakistan,N/A,N/A,0.00,0.00,0.50,0.50,0,0,0,0,0,0,"","",5,1,1,0,3,0,1,0,1,2,9,5,2,1,7,4,10,11,50,50,0.00,0.00,1.18,0.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1697119200,Oct 12 2023 - 2:00pm,complete,N/A,Afghanistan,Mongolia,N/A,N/A,0.00,0.00,1.38,0.00,1,0,1,0,0,0,"60","",6,3,4,0,2,1,2,2,1,2,12,5,4,2,8,3,13,15,50,50,0.00,0.00,1.59,0.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1697130000,Oct 12 2023 - 5:00pm,complete,N/A,Yemen,Sri Lanka,N/A,N/A,0.00,0.00,1.13,0.50,3,0,3,1,1,0,"34,67,90'3","",1,5,0,0,3,0,0,0,2,1,10,9,4,4,6,5,11,14,50,50,0.00,0.00,1.28,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
