timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1616547600,Mar 24 2021 - 1:00am,canceled,N/A,Nicaragua,St. Lucia,N/A,1,0.00,0.00,2.00,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.22,5.50,8.50,0.00,1.65,0.00,0.00,0.00,0.00,Estadio Olimpico del IND Managua
1616616000,Mar 24 2021 - 8:00pm,complete,N/A,St. Kitts and Nevis,Puerto Rico,N/A,1,0.00,0.00,1.50,1.75,1,0,1,1,1,0,"42","",-1,-1,3,0,1,0,0,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.42,5.00,6.00,1.22,1.65,2.75,5.00,1.70,2.05,N/A
1616623200,Mar 24 2021 - 10:00pm,complete,N/A,Antigua and Barbuda,Montserrat,N/A,1,0.00,0.00,1.75,2.00,2,2,4,4,2,2,"23,45","7,26",-1,-1,1,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.90,3.35,1.22,1.65,2.55,4.60,1.67,2.05,N/A
1616623200,Mar 24 2021 - 10:00pm,complete,N/A,Suriname,Cayman Islands,N/A,1,0.00,0.00,2.25,0.25,3,0,3,2,2,0,"22,38,77","",-1,-1,0,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.03,12.00,18.00,1.06,1.29,1.50,1.74,2.10,1.65,N/A
1616626800,Mar 24 2021 - 11:00pm,complete,N/A,Dominican Republic,Dominica,N/A,1,0.00,0.00,1.75,1.00,1,0,1,0,0,0,"52","",-1,-1,0,0,2,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.08,4.75,7.00,1.26,1.91,3.10,5.85,2.30,1.59,N/A
1616630400,Mar 25 2021 - 12:00am,complete,N/A,Guatemala,Cuba,N/A,1,0.00,0.00,2.50,1.50,1,0,1,0,0,0,"60","",3,1,1,0,2,1,1,0,1,2,11,2,5,0,6,2,-1,-1,59,41,0.00,0.00,1.39,0.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.02,7.00,9.50,1.22,1.67,2.75,5.50,3.25,1.33,Estadio Nacional Mateo Flores
1616706000,Mar 25 2021 - 9:00pm,complete,N/A,Haiti,Belize,N/A,1,0.00,0.00,1.80,1.00,2,0,2,0,0,0,"50,80","",9,2,0,0,2,0,0,0,1,1,22,5,6,2,16,3,-1,-1,67,33,0.00,0.00,2.56,0.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.09,8.25,15.00,1.16,1.50,2.25,4.10,2.90,1.33,Stade Sylvio Cator
1616709600,Mar 25 2021 - 10:00pm,complete,N/A,Curaçao,St. Vincent / Grenadines,N/A,1,0.00,0.00,1.83,0.75,5,0,5,4,4,0,"1,17,35,45,87","",3,4,-1,-1,-1,-1,-1,-1,-1,-1,20,5,7,4,13,1,-1,-1,50,50,0.00,0.00,2.23,0.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.05,11.00,16.00,1.06,1.19,1.81,2.50,2.75,1.40,N/A
1616713200,Mar 25 2021 - 11:00pm,complete,N/A,Trinidad and Tobago,Guyana,N/A,1,0.00,0.00,2.00,0.75,3,0,3,3,3,0,"7,15,44","",2,5,2,0,4,0,0,2,2,2,14,6,7,2,7,4,11,18,38,62,0.00,0.00,1.75,0.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.18,4.50,4.20,1.33,2.08,3.75,8.00,2.05,1.70,N/A
1616716800,Mar 26 2021 - 12:00am,complete,N/A,Canada,Bermuda,N/A,1,0.00,0.00,2.30,1.00,5,1,6,2,2,0,"19,27,53,69,81","63",8,0,0,0,1,0,0,0,0,1,22,4,13,2,9,2,-1,-1,50,50,0.00,0.00,3.04,0.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.02,21.00,21.00,1.03,1.17,1.36,2.15,7.20,1.08,N/A
