timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1473004800,Sep 04 2016 - 4:00pm,complete,886,San Marino,Azerbaijan,N/A,1,0.00,0.00,0.00,1.00,0,1,1,1,0,1,"","45",1,12,2,1,0,0,1,2,0,0,4,29,2,16,2,13,18,7,20,80,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadio Olimpico di Serravalle
1473004800,Sep 04 2016 - 4:00pm,complete,21745,Denmark,Armenia,N/A,1,0.00,0.00,2.00,0.70,1,0,1,1,1,0,"17","",13,0,0,0,2,0,0,0,0,2,16,2,9,2,7,0,7,14,77,23,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Telia Parken
1473004800,Sep 04 2016 - 4:00pm,complete,19905,Kazakhstan,Poland,N/A,1,0.00,0.00,0.30,2.50,2,2,4,2,0,2,"51,58","9,35",3,2,6,0,4,0,2,4,2,2,5,12,3,9,2,3,24,5,36,64,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Astana Arena
1473004800,Sep 04 2016 - 4:00pm,complete,4114,Lithuania,Slovenia,N/A,1,0.00,0.00,0.60,1.50,2,2,4,2,2,0,"32,34","77,90'3",4,9,1,0,1,0,0,1,0,1,10,18,4,11,6,7,14,10,31,69,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Vilniaus LFF stadionas
1473004800,Sep 04 2016 - 4:00pm,complete,18111,Slovakia,England,N/A,1,0.00,0.00,1.80,2.60,0,1,1,0,0,0,"","90'5",4,9,2,1,1,0,1,2,0,1,0,13,0,6,0,7,12,13,32,68,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,City Arena Trnava
1473014700,Sep 04 2016 - 6:45pm,complete,10731,Czech Republic,Northern Ireland,N/A,1,0.00,0.00,1.50,1.67,0,0,0,0,0,0,"","",6,4,1,0,2,0,0,1,1,1,12,5,2,3,10,2,6,9,63,37,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Generali Arena
1473014700,Sep 04 2016 - 6:45pm,complete,26793,Norway,Germany,N/A,1,0.00,0.00,1.30,3.00,0,3,3,2,0,2,"","15,45,60",3,4,2,0,1,0,0,2,0,1,3,9,0,8,3,1,14,5,34,66,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ullevaal Stadion
1473014700,Sep 04 2016 - 6:45pm,complete,25468,Romania,Montenegro,N/A,1,0.00,0.00,1.30,1.60,1,1,2,0,0,0,"85","87",10,0,2,0,2,0,1,1,1,1,11,8,5,3,6,5,19,13,54,46,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Cluj Arena
1473014700,Sep 04 2016 - 6:45pm,complete,15069,Malta,Scotland,N/A,1,0.00,0.00,0.10,1.80,1,5,6,2,1,1,"13","9,53,61,78,84",2,5,2,2,0,0,0,4,0,0,5,9,3,3,2,6,12,7,33,67,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ta'Qali National Stadium
1473091200,Sep 05 2016 - 4:00pm,complete,28500,Georgia,Austria,N/A,1,0.00,0.00,0.50,1.50,1,2,3,2,0,2,"78","16,42",5,5,0,0,2,0,0,0,0,2,11,10,4,4,7,6,13,18,53,47,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Boris Paichadze Dinamo Arena
