timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1602196200,Oct 08 2020 - 10:30pm,complete,N/A,Paraguay,Peru,Néstor Fabián Pitana,1,0.00,0.00,0.89,1.33,2,2,4,0,0,0,"66,81","52,85",3,3,3,0,1,0,2,1,1,0,12,10,7,5,5,5,16,16,59,41,0.00,0.00,1.73,1.35,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.15,3.40,1.50,2.55,5.05,10.25,2.10,1.62,Estadio Defensores del Chaco (Asunción)
1602197100,Oct 08 2020 - 10:45pm,complete,N/A,Uruguay,Chile,Eber Aquino,1,0.00,0.00,1.56,1.06,2,1,3,1,1,0,"39,90'3","54",6,3,3,0,2,0,0,3,0,2,7,6,3,4,4,2,13,20,51,49,0.00,0.00,1.17,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.75,4.45,1.27,1.87,3.20,6.00,1.74,1.95,Estadio Centenario (Montevideo)
1602203400,Oct 09 2020 - 12:30am,complete,N/A,Argentina,Ecuador,Roberto Tobar Vargas,1,0.00,0.00,2.29,1.44,1,0,1,1,1,0,"13","",6,1,2,0,1,0,1,1,1,0,5,5,3,0,2,5,14,19,58,42,0.00,0.00,1.14,0.63,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.25,6.25,12.00,1.19,1.62,2.60,4.60,2.15,1.61,Estadio Alberto José Armando (Ciudad de Buenos Aires)
1602286200,Oct 09 2020 - 11:30pm,complete,N/A,Colombia,Venezuela,Guillermo Enrique Guerrero Alcivar,1,0.00,0.00,1.28,0.56,3,0,3,3,3,0,"16,26,45'3","",2,5,0,0,3,0,0,0,1,2,8,7,7,4,1,3,21,13,57,43,0.00,0.00,1.23,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.38,4.80,9.50,1.29,1.91,3.35,6.45,2.25,1.56,Estadio Metropolitano Roberto Meléndez (Barranquilla)
1602289800,Oct 10 2020 - 12:30am,complete,N/A,Brazil,Bolivia,Leodán González,1,0.00,0.00,2.65,0.83,5,0,5,2,2,0,"16,30,49,66,73","",8,2,1,0,4,0,0,1,0,4,18,2,10,2,8,0,13,8,69,31,0.00,0.00,2.56,0.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.04,18.00,36.00,1.03,1.18,1.49,2.10,2.70,1.38,Neo Química Arena (São Paulo- São Paulo)
1602619200,Oct 13 2020 - 8:00pm,complete,N/A,Bolivia,Argentina,Diego Mirko Haro Sueldo,2,0.00,3.00,0.83,2.29,1,2,3,2,1,1,"24","45,79",3,7,4,0,3,0,1,3,1,2,11,13,4,4,7,9,15,11,56,44,0.00,0.00,1.30,1.48,3.00,0,50,50,50,50,50,100,50,50,8.00,6.00,6.05,4.60,1.53,1.29,1.91,3.30,6.35,2.05,1.67,Estadio Hernando Siles (La Paz)
1602622800,Oct 13 2020 - 9:00pm,complete,N/A,Ecuador,Uruguay,Wilmar Alexander Roldán Pérez,2,0.00,3.00,1.44,1.56,4,2,6,2,2,0,"15,45'4,52,75","84,90'5",6,1,2,0,0,0,1,1,0,0,16,6,8,3,8,3,12,11,50,50,0.00,0.00,1.94,0.95,2.00,50,50,50,0,0,0,100,50,50,7.00,4.00,3.00,3.20,2.55,1.36,2.10,3.85,7.50,1.83,1.87,Estadio Rodrigo Paz Delgado (Quito)
1602626400,Oct 13 2020 - 10:00pm,complete,N/A,Venezuela,Paraguay,Andrés José Rojas Noguera,2,0.00,1.00,0.56,0.89,0,1,1,0,0,0,"","85",6,6,3,0,3,0,1,2,2,1,8,8,3,4,5,4,17,14,33,67,0.00,0.00,0.89,1.11,3.50,50,100,100,50,0,50,50,50,50,8.00,6.00,2.50,3.05,3.15,1.43,2.30,4.40,8.75,1.95,1.77,Estadio Olímpico Metropolitano de Mérida (Mérida)
1602633600,Oct 14 2020 - 12:00am,complete,N/A,Peru,Brazil,Julio Bascuñán González,2,1.00,3.00,1.33,2.65,2,4,6,2,1,1,"6,59","28,64,83,90'4",1,2,2,2,0,0,1,3,0,0,7,12,7,10,0,2,22,15,34,66,0.00,0.00,1.17,1.79,4.50,50,100,100,100,50,50,50,100,100,11.00,2.00,8.75,4.75,1.39,1.31,1.95,3.50,6.70,2.25,1.56,Estadio Nacional de Lima (Lima)
1602635400,Oct 14 2020 - 12:30am,complete,N/A,Chile,Colombia,Darío Herrera,2,0.00,3.00,1.06,1.28,2,2,4,3,2,1,"38,41","7,90'1",1,4,5,0,2,0,2,3,2,0,7,10,4,5,3,5,16,18,46,54,0.00,0.00,0.89,1.23,3.00,50,100,100,0,0,50,100,50,50,5.00,2.00,3.30,3.20,2.35,1.40,2.25,4.25,8.25,1.91,1.77,Estadio Nacional Julio Martínez Prádanos (Santiago de Chile)
