,home_team,away_team,home_team_goals,away_team_goals,home_team_age,away_team_age,date,home_rank,home_total_points,home_rank_change,home_previous_points,home_conf,away_rank,away_total_points,away_rank_change,away_previous_points,away_conf,hour
0,Czechia,Denmark,3,1,29.363636363636363,26.727272727272727,2026-03-31,31.0,1510.42,-1.0,1510.42,UEFA,9.0,1654.54,0.0,1654.54,UEFA,18
1,Hungary,Czechia,1,1,27.272727272727277,27.0,2023-09-10,41.0,1465.62,2.0,1465.62,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,16
2,Czechia,Saudi Arabia,1,1,26.09090909090909,26.272727272727277,2025-09-08,31.0,1510.42,-1.0,1510.42,UEFA,53.0,1433.95,2.0,1434.71,AFC,17
3,Czechia,Turkiye,1,2,27.09090909090909,25.818181818181817,2024-06-26,31.0,1510.42,-1.0,1510.42,UEFA,39.0,1472.72,2.0,1472.72,UEFA,19
4,Czechia,Albania,2,0,27.363636363636363,26.363636363636363,2024-10-11,31.0,1510.42,-1.0,1510.42,UEFA,65.0,1374.98,-1.0,1374.98,UEFA,18
5,Albania,Czechia,0,0,27.0,28.09090909090909,2024-11-16,65.0,1374.98,-1.0,1374.98,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,19
6,Czechia,Albania,1,1,27.454545454545453,27.272727272727277,2023-09-07,31.0,1510.42,-1.0,1510.42,UEFA,65.0,1374.98,-1.0,1374.98,UEFA,18
7,Albania,Czechia,3,0,27.545454545454547,27.09090909090909,2023-10-12,65.0,1374.98,-1.0,1374.98,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,18
8,Czechia,Albania,1,1,27.454545454545453,27.272727272727277,2023-09-07,31.0,1510.42,-1.0,1510.42,UEFA,65.0,1374.98,-1.0,1374.98,UEFA,18
9,Albania,Czechia,3,0,27.545454545454547,27.09090909090909,2023-10-12,65.0,1374.98,-1.0,1374.98,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,18
10,Czechia,Montenegro,2,0,28.0,30.272727272727277,2025-06-06,31.0,1510.42,-1.0,1510.42,UEFA,72.0,1342.89,0.0,1342.89,UEFA,18
11,Montenegro,Czechia,0,2,28.727272727272727,28.09090909090909,2025-09-05,72.0,1342.89,0.0,1342.89,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,18
12,Montenegro,Czechia,1,4,29.272727272727277,27.727272727272727,2023-06-20,72.0,1342.89,0.0,1342.89,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,16
13,Czechia,North Macedonia,2,1,27.272727272727277,29.363636363636363,2024-06-10,31.0,1510.42,-1.0,1510.42,UEFA,67.0,1367.23,0.0,1367.23,UEFA,16
14,Czechia,San Marino,1,0,26.818181818181817,25.09090909090909,2025-11-13,31.0,1510.42,-1.0,1510.42,UEFA,210.0,780.33,0.0,780.33,UEFA,17
