home_team,away_team,home_team_goals,away_team_goals,home_team_age,away_team_age,date
Czech Republic,Denmark,3,1,29.363636363636363,26.727272727272727,2026-03-31T18:45:00Z
Hungary,Czech Republic,1,1,27.272727272727273,27.0,2023-09-10T16:00:00Z
Czech Republic,Saudi Arabia,1,1,26.09090909090909,26.272727272727273,2025-09-08T17:15:00Z
Czech Republic,Turkey,1,2,27.09090909090909,25.818181818181817,2024-06-26T19:00:00Z
Czech Republic,Albania,2,0,27.363636363636363,26.363636363636363,2024-10-11T18:45:00Z
Albania,Czech Republic,0,0,27.0,28.09090909090909,2024-11-16T19:45:00Z
Czech Republic,Albania,1,1,27.454545454545453,27.272727272727273,2023-09-07T18:45:00Z
Albania,Czech Republic,0,3,27.545454545454547,27.09090909090909,2023-10-12T18:45:00Z
Czech Republic,Albania,1,1,27.454545454545453,27.272727272727273,2023-09-07T18:45:00Z
Albania,Czech Republic,0,3,27.545454545454547,27.09090909090909,2023-10-12T18:45:00Z
Czech Republic,Montenegro,2,0,28.0,30.272727272727273,2025-06-06T18:45:00Z
Montenegro,Czech Republic,2,0,28.727272727272727,28.09090909090909,2025-09-05T18:45:00Z
Montenegro,Czech Republic,4,1,29.272727272727273,27.727272727272727,2023-06-20T16:00:00Z
Czech Republic,North Macedonia,2,1,27.272727272727273,29.363636363636363,2024-06-10T16:00:00Z
Czech Republic,San Marino,1,0,26.818181818181817,25.09090909090909,2025-11-13T17:00:00Z
Czech Republic,Malta,7,1,25.636363636363637,30.181818181818183,2024-06-07T15:30:00Z
Portugal,Czech Republic,1,2,28.90909090909091,27.454545454545453,2024-06-18T19:00:00Z
Czech Republic,Spain,2,2,27.181818181818183,26.375,2022-06-05T18:45:00Z
Sweden,Czech Republic,0,1,29.181818181818183,26.545454545454547,2022-03-24T19:45:00Z
Georgia,Czech Republic,1,1,26.636363636363637,27.09090909090909,2024-06-22T13:00:00Z
Georgia,Czech Republic,1,4,27.545454545454547,26.09090909090909,2024-09-07T16:00:00Z
Czech Republic,Georgia,2,1,27.454545454545453,27.545454545454547,2024-11-19T19:45:00Z
Czech Republic,Faeroe Islands,2,1,28.636363636363637,29.545454545454547,2025-03-22T19:45:00Z
Faeroe Islands,Czech Republic,1,2,29.454545454545453,27.363636363636363,2025-10-12T16:00:00Z
Faeroe Islands,Czech Republic,3,0,30.181818181818183,26.727272727272727,2023-06-17T18:45:00Z
Czech Republic,Faeroe Islands,1,0,25.454545454545453,28.727272727272727,2023-10-15T16:00:00Z
Faeroe Islands,Czech Republic,3,0,30.181818181818183,26.727272727272727,2023-06-17T18:45:00Z
Czech Republic,Faeroe Islands,1,0,25.454545454545453,28.727272727272727,2023-10-15T16:00:00Z
Norway,Czech Republic,2,1,26.454545454545453,27.272727272727273,2024-03-22T17:00:00Z
Czech Republic,Ireland,4,3,29.545454545454547,27.90909090909091,2026-03-26T19:45:00Z
Croatia,Czech Republic,1,5,29.818181818181817,28.727272727272727,2025-06-09T18:45:00Z
Czech Republic,Croatia,0,0,27.454545454545453,30.09090909090909,2025-10-09T18:45:00Z
Czech Republic,Switzerland,2,1,26.272727272727273,27.818181818181817,2022-06-02T18:45:00Z
Moldova,Czech Republic,0,0,26.181818181818183,27.363636363636363,2023-03-27T18:45:00Z
Moldova,Czech Republic,0,0,26.181818181818183,27.363636363636363,2023-03-27T18:45:00Z
Czech Republic,Moldova,3,0,25.727272727272727,26.0,2023-11-20T19:45:00Z
Czech Republic,Poland,3,1,26.636363636363637,27.272727272727273,2023-03-24T19:45:00Z
Poland,Czech Republic,1,1,26.333333333333332,27.0,2023-11-17T19:45:00Z
Czech Republic,Poland,3,1,26.636363636363637,27.272727272727273,2023-03-24T19:45:00Z
Poland,Czech Republic,1,1,27.09090909090909,26.90909090909091,2023-11-17T19:45:00Z
Czech Republic,Ukraine,3,2,26.727272727272727,26.727272727272727,2024-09-10T18:45:00Z
Ukraine,Czech Republic,1,1,25.636363636363637,26.818181818181817,2024-10-14T18:45:00Z
Gibraltar,Czech Republic,4,0,24.636363636363637,27.90909090909091,2025-03-25T19:45:00Z
Czech Republic,Gibraltar,6,0,27.636363636363637,23.90909090909091,2025-11-17T19:45:00Z
Czech Republic,Armenia,2,1,25.181818181818183,28.09090909090909,2024-03-26T19:00:00Z
Costa Rica,Uruguay,0,0,24.818181818181817,23.545454545454547,2024-06-01T02:00:00Z
Uruguay,Nicaragua,4,1,24.454545454545453,27.818181818181817,2023-06-14T23:30:00Z
Uruguay,Peru,3,0,28.272727272727273,29.272727272727273,2025-09-04T23:30:00Z
Peru,Uruguay,1,0,29.363636363636363,26.636363636363637,2024-10-12T01:30:00Z
Uruguay,Peru,1,0,26.90909090909091,30.636363636363637,2022-03-24T23:30:00Z
England,Uruguay,1,1,27.727272727272727,29.818181818181817,2026-03-27T19:45:00Z
Ghana,Uruguay,0,2,26.545454545454547,27.09090909090909,2022-12-02T15:00:00Z
Chile,Uruguay,0,0,27.363636363636363,26.454545454545453,2025-09-09T23:30:00Z
Uruguay,Chile,3,1,25.0,27.272727272727273,2023-09-08T23:00:00Z
Chile,Uruguay,0,2,29.727272727272727,27.636363636363637,2022-03-29T23:30:00Z
Uruguay,Panama,3,1,26.363636363636363,28.181818181818183,2024-06-24T01:00:00Z
Uruguay,Panama,5,0,28.0,25.818181818181817,2022-06-11T20:00:00Z
South Korea,Uruguay,1,2,30.363636363636363,26.727272727272727,2023-03-28T11:00:00Z
Uruguay,South Korea,0,0,28.272727272727273,29.272727272727273,2022-11-24T13:00:00Z
Portugal,Uruguay,2,0,27.818181818181817,28.727272727272727,2022-11-28T19:00:00Z
Bolivia,Uruguay,0,0,25.636363636363637,27.818181818181817,2025-03-25T20:00:00Z
Uruguay,Bolivia,5,0,26.09090909090909,25.727272727272727,2024-06-28T01:00:00Z
Uruguay,Bolivia,3,0,25.09090909090909,27.454545454545453,2023-11-21T23:30:00Z
Uruguay,Argentina,0,1,27.90909090909091,28.272727272727273,2025-03-21T23:30:00Z
Argentina,Uruguay,0,2,27.90909090909091,24.727272727272727,2023-11-17T00:00:00Z
Uruguay,Cuba,2,0,25.181818181818183,26.454545454545453,2023-06-20T23:30:00Z
Guatemala,Uruguay,1,1,26.90909090909091,24.09090909090909,2024-09-01T23:00:00Z
Uruguay,Venezuela,2,0,27.727272727272727,28.09090909090909,2025-06-10T23:00:00Z
Venezuela,Uruguay,0,0,27.545454545454547,25.818181818181817,2024-09-10T22:00:00Z
Uruguay,Venezuela,4,1,28.0,28.363636363636363,2022-02-01T23:00:00Z
Uruguay,Colombia,0,1,26.09090909090909,29.09090909090909,2024-07-11T00:00:00Z
Uruguay,Colombia,3,2,27.0,27.727272727272727,2024-11-16T00:00:00Z
Colombia,Uruguay,2,2,29.272727272727273,24.454545454545453,2023-10-12T20:30:00Z
Uzbekistan,Uruguay,1,2,27.272727272727273,25.545454545454547,2025-10-13T12:45:00Z
Algeria,Uruguay,0,0,26.90909090909091,29.09090909090909,2026-03-31T18:30:00Z
Morocco,Sierra Leone,3,1,27.818181818181817,24.09090909090909,2024-01-11T15:00:00Z
Morocco,Angola,2,0,26.09090909090909,27.666666666666668,2025-08-03T15:00:00Z
Morocco,Angola,1,0,27.181818181818183,27.818181818181817,2024-03-22T22:00:00Z
Belgium,Morocco,2,0,31.5,25.77777777777778,2022-11-27T13:00:00Z
Morocco,Peru,0,0,26.636363636363637,31.0,2023-03-28T19:30:00Z
Morocco,Gabon,4,1,26.727272727272727,27.272727272727273,2024-09-06T19:00:00Z
Gabon,Morocco,5,1,28.181818181818183,26.636363636363637,2024-11-15T19:00:00Z
Morocco,Paraguay,2,1,25.363636363636363,28.363636363636363,2026-03-31T18:00:00Z
Morocco,Liberia,3,0,26.09090909090909,24.7,2023-10-17T19:00:00Z
Morocco,Liberia,3,0,26.09090909090909,24.636363636363637,2023-10-17T19:00:00Z
Canada,Morocco,2,1,28.0,26.818181818181817,2022-12-01T15:00:00Z
Morocco,Comoros,2,0,27.818181818181817,27.0,2025-12-21T19:00:00Z
Congo,Morocco,6,0,26.272727272727273,26.818181818181817,2024-06-11T19:00:00Z
Cameroon,Morocco,2,0,24.818181818181817,28.272727272727273,2026-01-09T19:00:00Z
Zambia,Morocco,3,0,25.454545454545453,28.09090909090909,2025-12-29T19:00:00Z
Zambia,Morocco,1,0,26.90909090909091,29.181818181818183,2024-01-24T20:00:00Z
Morocco,Zambia,2,1,27.181818181818183,26.545454545454547,2024-06-07T19:00:00Z
Morocco,Spain,3,0,26.818181818181817,25.727272727272727,2022-12-06T15:00:00Z
Morocco,Mali,1,1,27.90909090909091,25.727272727272727,2025-12-26T20:00:00Z
Morocco,Ecuador,1,1,27.636363636363637,27.181818181818183,2026-03-27T20:15:00Z
Nigeria,Morocco,4,2,28.363636363636363,28.272727272727273,2026-01-14T20:00:00Z
Morocco,Mauritania,0,0,25.90909090909091,26.545454545454547,2024-03-26T22:00:00Z
Lesotho,Morocco,1,0,27.818181818181817,26.09090909090909,2024-09-09T19:00:00Z
Morocco,Lesotho,7,0,25.636363636363637,27.818181818181817,2024-11-18T19:00:00Z
Morocco,Tanzania,1,0,28.272727272727273,28.181818181818183,2026-01-04T16:00:00Z
Morocco,Tanzania,3,0,28.454545454545453,27.454545454545453,2024-01-17T17:00:00Z
Tanzania,Morocco,2,0,24.454545454545453,26.727272727272727,2023-11-21T19:00:00Z
Morocco,Croatia,0,0,26.818181818181817,28.636363636363637,2022-11-23T10:00:00Z
Senegal,Morocco,3,0,27.272727272727273,28.272727272727273,2026-01-18T19:00:00Z
Morocco,DR Congo,1,1,29.181818181818183,29.636363636363637,2024-01-21T14:00:00Z
Austria,South Korea,0,1,29.0,29.0,2026-03-31T18:45:00Z
Australia,South Korea,2,1,29.272727272727273,29.454545454545453,2024-02-02T15:30:00Z
South Korea,Hong Kong,2,0,25.545454545454547,28.727272727272727,2025-07-11T11:00:00Z
South Korea,Jordan,1,1,30.0,27.636363636363637,2025-03-25T11:00:00Z
Jordan,South Korea,2,2,28.90909090909091,29.272727272727273,2024-01-20T11:30:00Z
Jordan,South Korea,0,2,28.454545454545453,30.181818181818183,2024-02-06T15:00:00Z
South Korea,Paraguay,2,0,29.09090909090909,27.272727272727273,2025-10-14T11:00:00Z
